deltaTime(s)	Time(s)	Roll(rad)	Pitch(rad)	Yaw(rad)	RollSpeed(rad/s)	PitchSpeed(rad/s)	YawSpeed(rad/s)	Motor1(PWM)	Motor2(PWM)	Motor3(PWM)	Motor4(PWM)	
0.22696471 	45.00492358	-0.01243682	0.02544922	1.73581517	0.00045722	-0.00023301	-0.00092500	900	900	900	900
0.21468735 	45.21961093	-0.01245482	0.02544829	1.73586488	0.00052829	-0.00001362	-0.00046282	900	900	900	900
0.22526813 	45.44487906	-0.01240851	0.02541130	1.73584151	-0.00005675	0.00000883	-0.00142084	900	900	900	900
0.19931507 	45.64419413	-0.01243389	0.02541277	1.73587716	-0.00040708	-0.00079631	0.00012092	900	900	900	900
0.20979881 	45.85399294	-0.01237916	0.02538579	1.73596597	0.00007665	-0.00050716	0.00025477	900	900	900	900
0.21509767 	46.06909060	-0.01235826	0.02534537	1.73604476	-0.00025202	0.00010244	-0.00033358	900	900	900	900
0.22533298 	46.29442358	-0.01231443	0.02533277	1.73607838	0.00071401	0.00023879	0.00138968	900	900	900	900
0.20427704 	46.49870062	-0.01232449	0.02534362	1.73607826	0.00030632	0.00025318	-0.00123706	900	900	900	900
0.23036194 	46.72906256	-0.01231124	0.02536032	1.73614347	0.00042195	0.00015465	-0.00000528	900	900	900	900
0.21506333 	46.94412589	-0.01229690	0.02532897	1.73620152	0.00041429	-0.00085382	0.00024084	900	900	900	900
0.23615313 	47.18027902	-0.01231389	0.02536862	1.73620355	-0.00097212	-0.00037942	-0.00152279	900	900	900	900
0.13294315 	47.31322217	-0.01228170	0.02544020	1.73626709	0.00080911	0.00317715	-0.00109477	900	900	900	900
0.04031944 	47.35354161	-0.01232953	0.02542135	1.73617172	0.00022324	0.00487289	-0.01011132	900	900	900	900
0.09643984 	47.44998145	-0.01231101	0.02534976	1.73636222	-0.00114732	0.00029861	0.00377722	900	900	900	900
0.10186052 	47.55184197	-0.01228961	0.02525146	1.73640668	0.00012721	-0.00122876	0.00122185	900	900	900	900
0.23121309 	47.78305507	-0.01230679	0.02526690	1.73654091	-0.00031621	-0.00031741	-0.00009991	900	900	900	900
0.32003593 	48.10309100	-0.01233402	0.02522035	1.73662174	-0.00049491	0.00035562	-0.00196778	900	900	900	900
0.20012832 	48.30321932	-0.01238803	0.02522908	1.73668420	-0.00053298	-0.00218381	0.00225455	900	900	900	900
0.22699761 	48.53021693	-0.01236477	0.02528306	1.73671770	0.00074148	0.00027508	-0.00173877	900	900	900	900
0.33110094 	48.86131787	-0.01237189	0.02526466	1.73681104	0.00130461	0.00078573	0.00060197	900	900	900	900
0.29572511 	49.15704298	-0.01235897	0.02525196	1.73692322	-0.00021137	-0.00123011	-0.00062848	900	900	900	900
0.22961998 	49.38666296	-0.01237301	0.02525767	1.73698688	-0.00045040	-0.00040305	-0.00068378	900	900	900	900
0.22992611 	49.61658907	-0.01233581	0.02525578	1.73707509	-0.00032599	0.00110773	0.00036250	900	900	900	900
0.28118205 	49.89777112	-0.01238978	0.02525641	1.73720264	-0.00005893	-0.00041265	0.00048014	900	900	900	900
0.26539207 	50.16316319	-0.01241242	0.02529063	1.73725307	-0.00116324	-0.00041316	0.00024409	900	900	900	900
0.23464918 	50.39781237	-0.01250739	0.02529352	1.73729169	-0.00035163	-0.00024250	0.00003934	900	900	900	900
0.28563094 	50.68344331	-0.01252072	0.02536921	1.73730791	-0.00010293	-0.00040930	0.00003437	900	900	900	900
0.26045036 	50.94389367	-0.01255119	0.02542843	1.73739648	0.00057663	0.00040780	-0.00050734	900	900	900	900
0.23994827 	51.18384194	-0.01260633	0.02540431	1.73749268	-0.00037350	0.00001599	0.00058306	900	900	900	900
0.22489762 	51.40873957	-0.01254700	0.02544722	1.73753858	-0.00026518	-0.00013249	-0.00045865	900	900	900	900
0.28587675 	51.69461632	-0.01252424	0.02546602	1.73761702	-0.00030502	0.00011721	0.00062772	900	900	900	900
0.23506355 	51.92967987	-0.01254916	0.02545606	1.73768055	0.00080060	-0.00225586	0.00137090	900	900	900	900
0.20423436 	52.13391423	-0.01252134	0.02549819	1.73768961	-0.00020591	-0.00334105	0.00003388	900	900	900	900
0.22953367 	52.36344790	-0.01252025	0.02557145	1.73773789	0.00030660	0.00001934	0.00055233	900	900	900	900
0.17864656 	52.54209447	-0.01248495	0.02562743	1.73772156	0.00037088	0.00171823	-0.00087611	900	900	900	900
0.23007822 	52.77217269	-0.01247102	0.02564263	1.73777127	0.00006145	0.00111454	-0.00161857	900	900	900	900
0.34619355 	53.11836624	-0.01246541	0.02566601	1.73785949	-0.00004746	-0.00175293	0.00010937	900	900	900	900
0.26001430 	53.37838054	-0.01243295	0.02574305	1.73793101	-0.00076478	0.00118890	-0.00062847	900	900	900	900
0.28600073 	53.66438127	-0.01244464	0.02571203	1.73801696	0.00082245	-0.00000158	0.00197674	900	900	900	900
0.26588726 	53.93026853	-0.01242955	0.02569308	1.73813009	0.00031802	0.00169270	-0.00050811	900	900	900	900
0.24490714 	54.17517567	-0.01242135	0.02565640	1.73823309	0.00027509	-0.00039046	-0.00037790	900	900	900	900
0.23484516 	54.41002083	-0.01244315	0.02561979	1.73825657	-0.00010693	0.00045629	-0.00107683	900	900	900	900
0.24032927 	54.65035009	-0.01242040	0.02560058	1.73836255	-0.00019171	0.00106672	0.00010557	900	900	900	900
0.30636787 	54.95671797	-0.01238887	0.02553967	1.73835278	-0.00027983	-0.00086706	0.00015347	900	900	900	900
